tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1690953,movie,Despicable Me 2,Despicable Me 2,0,2013,\N,98,"Adventure,Animation,Comedy",7.3,390996.0
tt0120768,movie,The Negotiator,The Negotiator,0,1998,\N,140,"Action,Crime,Drama",7.3,140492.0
tt0242519,movie,Hera Pheri,Hera Pheri,0,2000,\N,156,"Action,Comedy,Crime",8.1,64968.0
tt0317740,movie,The Italian Job,The Italian Job,0,2003,\N,111,"Action,Crime,Thriller",7.0,361849.0
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery",8.3,433642.0
tt0168629,movie,Dancer in the Dark,Dancer in the Dark,0,2000,\N,140,"Crime,Drama,Musical",7.9,108451.0
tt0096754,movie,The Abyss,The Abyss,0,1989,\N,140,"Adventure,Drama,Mystery",7.5,174657.0
tt6998518,movie,Mandy,Mandy,0,2018,\N,121,"Action,Fantasy,Horror",6.5,75350.0
tt0247586,movie,Nine Queens,Nueve reinas,0,2000,\N,114,"Crime,Drama,Thriller",7.9,52405.0
tt1069238,movie,Departures,Okuribito,0,2008,\N,130,"Drama,Music",8.0,51594.0
tt1655441,movie,The Age of Adaline,The Age of Adaline,0,2015,\N,112,"Drama,Fantasy,Romance",7.2,171676.0
tt0048280,movie,Lady and the Tramp,Lady and the Tramp,0,1955,\N,76,"Adventure,Animation,Comedy",7.3,132780.0
tt0112722,movie,Copycat,Copycat,0,1995,\N,123,"Drama,Mystery,Thriller",6.6,58671.0
tt0146882,movie,High Fidelity,High Fidelity,0,2000,\N,113,"Comedy,Drama,Music",7.4,177945.0
tt1959490,movie,Noah,Noah,0,2014,\N,138,"Action,Adventure,Drama",5.8,252825.0
tt9421570,movie,The Guilty,The Guilty,0,2021,\N,90,"Crime,Drama,Thriller",6.3,112687.0
tt0093260,movie,Innerspace,Innerspace,0,1987,\N,120,"Action,Adventure,Comedy",6.8,59044.0
tt0250258,movie,The Experiment,Das Experiment,0,2001,\N,120,"Drama,Thriller",7.7,93392.0
tt0203119,movie,Sexy Beast,Sexy Beast,0,2000,\N,89,"Crime,Drama,Thriller",7.2,60338.0
tt0416508,movie,Becoming Jane,Becoming Jane,0,2007,\N,120,"Biography,Drama,Romance",7.0,61269.0
tt3758172,movie,Jungle,Jungle,0,2017,\N,115,"Action,Adventure,Biography",6.7,55502.0
tt0398286,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy",7.7,439366.0
tt5848272,movie,Ralph Breaks the Internet,Ralph Breaks the Internet,0,2018,\N,112,"Adventure,Animation,Comedy",7.0,154126.0
tt0164184,movie,The Sum of All Fears,The Sum of All Fears,0,2002,\N,124,"Action,Drama,Thriller",6.4,114410.0
tt1386588,movie,The Other Guys,The Other Guys,0,2010,\N,107,"Action,Comedy,Crime",6.6,262601.0
tt1878870,movie,The Edge of Seventeen,The Edge of Seventeen,0,2016,\N,104,"Comedy,Drama",7.3,121690.0
tt1024648,movie,Argo,Argo,0,2012,\N,120,"Biography,Drama,Thriller",7.7,605010.0
tt1535108,movie,Elysium,Elysium,0,2013,\N,109,"Action,Drama,Sci-Fi",6.6,440493.0
tt0120791,movie,Practical Magic,Practical Magic,0,1998,\N,104,"Comedy,Drama,Fantasy",6.2,80320.0
tt0473075,movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,0,2010,\N,116,"Action,Adventure,Fantasy",6.6,285900.0
tt1392170,movie,The Hunger Games,The Hunger Games,0,2012,\N,142,"Action,Adventure,Sci-Fi",7.2,896931.0
tt1235522,movie,Broken City,Broken City,0,2013,\N,109,"Action,Crime,Drama",6.1,79753.0
tt3861390,movie,Dumbo,Dumbo,0,2019,\N,112,"Adventure,Family,Fantasy",6.3,73844.0
tt4425200,movie,John Wick: Chapter 2,John Wick: Chapter 2,0,2017,\N,122,"Action,Crime,Thriller",7.4,413725.0
tt3315342,movie,Logan,Logan,0,2017,\N,137,"Action,Drama,Sci-Fi",8.1,726431.0
tt0499549,movie,Avatar,Avatar,0,2009,\N,162,"Action,Adventure,Fantasy",7.8,1189863.0
tt1273235,movie,A Serbian Film,Srpski film,0,2010,\N,104,"Horror,Mystery,Thriller",5.0,62853.0
tt0848537,movie,Epic,Epic,0,2013,\N,102,"Action,Adventure,Animation",6.6,104450.0
tt0260866,movie,Don't Say a Word,Don't Say a Word,0,2001,\N,113,"Drama,Mystery,Thriller",6.3,52041.0
tt0080339,movie,Airplane!,Airplane!,0,1980,\N,88,Comedy,7.7,232816.0
tt0108525,movie,Wayne's World 2,Wayne's World 2,0,1993,\N,95,"Comedy,Music",6.2,81917.0
tt0421238,movie,The Proposition,The Proposition,0,2005,\N,104,"Crime,Drama,Western",7.3,52335.0
tt2400463,movie,The Invitation,The Invitation,0,2015,\N,100,"Drama,Horror,Mystery",6.6,105235.0
tt4003440,movie,The House That Jack Built,The House That Jack Built,0,2018,\N,152,"Crime,Drama,Horror",6.8,72313.0
tt0382992,movie,Stealth,Stealth,0,2005,\N,121,"Action,Adventure,Sci-Fi",5.0,53716.0
tt3450958,movie,War for the Planet of the Apes,War for the Planet of the Apes,0,2017,\N,140,"Action,Adventure,Drama",7.4,249327.0
tt0319262,movie,The Day After Tomorrow,The Day After Tomorrow,0,2004,\N,124,"Action,Adventure,Sci-Fi",6.4,440127.0
tt0467406,movie,Juno,Juno,0,2007,\N,96,"Comedy,Drama",7.5,513980.0
tt0112740,movie,Crimson Tide,Crimson Tide,0,1995,\N,116,"Action,Drama,Thriller",7.3,111035.0
tt2278871,movie,Blue Is the Warmest Colour,La vie d'Adèle,0,2013,\N,180,"Drama,Romance",7.7,149137.0
tt0070511,movie,Papillon,Papillon,0,1973,\N,151,"Biography,Crime,Drama",8.0,128954.0
tt0087298,movie,Friday the 13th: The Final Chapter,Friday the 13th: The Final Chapter,0,1984,\N,91,"Horror,Thriller",5.9,51001.0
tt0087985,movie,Red Dawn,Red Dawn,0,1984,\N,114,"Action,Drama,Thriller",6.3,56257.0
tt2267968,movie,Kung Fu Panda 3,Kung Fu Panda 3,0,2016,\N,95,"Action,Adventure,Animation",7.1,152279.0
tt6878306,movie,News of the World,News of the World,0,2020,\N,118,"Action,Adventure,Drama",6.8,83900.0
tt6673612,movie,Dolittle,Dolittle,0,2020,\N,101,"Adventure,Comedy,Family",5.6,62024.0
tt1937149,movie,The Body,El cuerpo,0,2012,\N,112,"Action,Crime,Drama",7.6,64414.0
tt2024469,movie,Non-Stop,Non-Stop,0,2014,\N,106,"Action,Mystery,Thriller",6.9,261606.0
tt0061852,movie,The Jungle Book,The Jungle Book,0,1967,\N,78,"Adventure,Animation,Comedy",7.6,178325.0
tt0212720,movie,A.I. Artificial Intelligence,A.I. Artificial Intelligence,0,2001,\N,146,"Drama,Sci-Fi",7.2,303823.0
tt0366627,movie,The Jacket,The Jacket,0,2005,\N,103,"Drama,Fantasy,Mystery",7.1,112612.0
tt1241317,movie,Death Note,Death Note,0,2017,\N,101,"Crime,Drama,Fantasy",4.5,83426.0
tt1126591,movie,Burlesque,Burlesque,0,2010,\N,119,"Drama,Music,Musical",6.4,84722.0
tt0292506,movie,The Recruit,The Recruit,0,2003,\N,115,"Action,Thriller",6.6,134992.0
tt1228987,movie,Let Me In,Let Me In,0,2010,\N,116,"Drama,Fantasy,Horror",7.1,120276.0
